Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,243.080002,245.750000,237.399994,239.580002,237.036011,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,226.667297,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,219.949371,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,222.541565,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,224.708298,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,226.419937,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,233.266449,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,235.977341,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,236.689713,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,237.797836,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,233.306030,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,229.467224,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,237.669205,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,240.004135,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,239.469879,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,238.055069,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,245.366577,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,245.524902,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,240.132767,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,245.178604,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,250.066147,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,261.790344,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,255.606659,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,254.043442,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,264.718872,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,263.897736,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,260.820740,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,260.306244,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,268.438965,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,269.279968,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,267.127594,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,260.015961,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,255.959259,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,250.613144,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,249.462585,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,252.696060,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,247.191223,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,248.123566,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,247.389587,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,244.265259,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,249.065842,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,253.211807,30760100
2023-03-06,256.429993,260.119995,255.979996,256.869995,254.778961,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,252.081100,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,251.634750,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,250.266006,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,246.566360,28333900
2023-03-13,247.399994,257.910004,245.729996,253.919998,251.852966,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,258.667053,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,263.279205,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,273.951630,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,277.155273,69527400
2023-03-20,276.980011,277.480011,269.850006,272.230011,270.013916,43466600
2023-03-21,274.880005,275.000000,269.519989,273.779999,271.551300,34558700
2023-03-22,273.399994,281.040009,272.179993,272.290009,270.073425,34873300
2023-03-23,277.940002,281.059998,275.200012,277.660004,275.399719,36610900
2023-03-24,277.239990,280.630005,275.279999,280.570007,278.286041,28172000
2023-03-27,280.500000,281.459991,275.519989,276.380005,274.130127,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,272.989502,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,278.226563,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,281.737701,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,285.953094,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,284.891815,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,284.842224,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,282.025330,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,289.226257,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,287.034241,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,280.527618,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,281.182220,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,287.480560,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,283.810699,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,286.448975,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,286.022522,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,286.101868,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,283.780914,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,283.433777,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,279.476257,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,273.177979,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,292.965515,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,302.348541,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,304.758789,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,303.072601,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,302.923828,26404400
2023-05-03,306.619995,308.609985,304.089996,304.399994,301.922058,22360800
2023-05-04,306.239990,307.760010,303.399994,305.410004,302.923828,22519900
2023-05-05,305.720001,311.970001,304.269989,310.649994,308.121155,28181200
2023-05-08,310.130005,310.200012,306.089996,308.649994,306.137421,21318600
2023-05-09,308.000000,310.040009,306.309998,307.000000,304.500854,21340800
2023-05-10,308.619995,313.000000,307.670013,312.309998,309.767609,30078000
2023-05-11,310.100006,311.119995,306.260010,310.109985,307.585510,31680200
2023-05-12,310.549988,310.649994,306.600006,308.970001,306.454865,19758100
2023-05-15,309.100006,309.899994,307.589996,309.459991,306.940857,16336500
2023-05-16,309.829987,313.709991,309.829987,311.739990,309.202301,26730300
2023-05-17,312.290009,314.429993,310.739990,314.000000,312.124725,24315000
2023-05-18,314.529999,319.040009,313.720001,318.519989,316.617706,27276000
2023-05-19,316.739990,318.750000,316.369995,318.339996,316.438812,27529500
2023-05-22,318.600006,322.589996,318.010010,321.179993,319.261841,24115700
2023-05-23,320.029999,322.720001,315.250000,315.260010,313.377228,30797200
2023-05-24,314.730011,316.500000,312.609985,313.850006,311.975616,23384900
2023-05-25,323.239990,326.899994,320.000000,325.920013,323.973541,43301700
2023-05-26,324.019989,333.399994,323.880005,332.890015,330.901947,36630600
2023-05-30,335.230011,335.739990,330.519989,331.209991,329.231964,29503100
2023-05-31,332.290009,335.940002,327.329987,328.390015,326.428802,45950600
2023-06-01,325.929993,333.529999,324.720001,332.579987,330.593750,26773900
2023-06-02,334.250000,337.500000,332.549988,335.399994,333.396881,25864000
2023-06-05,335.220001,338.559998,334.660004,335.940002,333.933716,21307100
2023-06-06,335.329987,335.369995,332.170013,333.679993,331.687195,20396200
2023-06-07,331.649994,334.489990,322.500000,323.380005,321.448700,40717100
2023-06-08,323.940002,326.640015,323.350006,325.260010,323.317505,23277700
2023-06-09,324.989990,329.989990,324.410004,326.790009,324.838348,22514900
2023-06-12,328.579987,332.100006,325.160004,331.850006,329.868103,24260300
2023-06-13,334.470001,336.980011,330.390015,334.290009,332.293549,22951300
2023-06-14,334.339996,339.040009,332.809998,337.339996,335.325348,26003800
2023-06-15,337.480011,349.839996,337.200012,348.100006,346.021088,38899100
2023-06-16,351.320007,351.470001,341.950012,342.329987,340.285522,46533600
2023-06-20,339.309998,342.079987,335.859985,338.049988,336.031097,26375400
2023-06-21,336.369995,337.730011,332.070007,333.559998,331.567902,25117800
2023-06-22,334.119995,340.119995,333.339996,339.709991,337.681152,23556800
2023-06-23,334.359985,337.959991,333.450012,335.019989,333.019165,23084700
2023-06-26,333.720001,336.109985,328.489990,328.600006,326.637543,21520600
2023-06-27,331.859985,336.149994,329.299988,334.570007,332.571869,24354100
2023-06-28,334.660004,337.980011,333.809998,335.850006,333.844238,20259500
2023-06-29,334.709991,336.109985,332.619995,335.049988,333.048981,16997000
2023-06-30,337.750000,342.730011,337.200012,340.540009,338.506226,26823800
2023-07-03,339.190002,340.899994,336.570007,337.989990,335.971436,12508700
2023-07-05,335.089996,341.649994,334.730011,338.149994,336.130493,18172400
2023-07-06,337.299988,342.989990,335.500000,341.269989,339.231873,28161200
2023-07-07,339.320007,341.790009,337.000000,337.220001,335.206055,21185300
2023-07-10,334.600006,335.230011,327.589996,331.829987,329.848206,32791400
2023-07-11,331.059998,332.859985,327.000000,332.470001,330.484436,26698200
2023-07-12,336.600006,341.649994,335.670013,337.200012,335.186188,29995300
